input_job_title,minimum_salary,Average_salary,maximum_salary
Product Support Advisor,$37960,$62885,$104178
Member Engagement Manager,$31429,$61299,$119556
Companion Animal Leader,$24105,$43331,$77892
Air Import Agent,$39018,$71133,$129683
Delivery Man,$43751,$67208,$103242
Simulator Technician,$22196,$39469,$70183
Technical Writing Manager,$61740,$96091,$149554
Director Of Licensing,$53306,$99247,$184783
Medical Communications Manager,$44351,$72852,$119668
Transfer Pricing Director,$53306,$99247,$184783
Certified Medical Dosimetrist,$87482,$110245,$138932
Assistant Professor Of Biology,$43143,$72311,$121199
Customer Logistics Manager,$42005,$68970,$113244
Teen Services Librarian,$36677,$57280,$89455
Lead Automation Engineer,$93063,$129284,$165840
Global Trade Analyst,$46041,$72159,$113095
Level 2 Fieldwork,$34150,$49919,$72969
Head Of Sales Department,$50817,$107887,$229049
Operater,$41104,$58093,$82105
Human Services Coordinator,$35500,$48290,$65688
Stocking,$27623,$37640,$54550
Lighting Designer Programmer,$32862,$59044,$106085
Claims Operations Specialist,$42638,$60164,$84894
Program Cost Schedule And Control Analyst,$55088,$80414,$117383
Retail Sale Associate,$32269,$45698,$64714
Team Support Specialist,$34104,$49265,$71167
Information System Security Manager,$71116,$113405,$180840
Deputy Public Affairs Officer,$31336,$59143,$111626
Provider Phone Representative,$23672,$38159,$61511
Observer Controller,$16967,$35564,$74545
Junior Data Engineer,$84015,$128382,$196177
Technical Apprentice,$59548,$86709,$126259
Concrete Laborer,$42278,$65755,$102269
Deposit Operations Manager,$43669,$72020,$118776
Engineering Officer,$59731,$100443,$168903
Medical Administration Officer,$36179,$71732,$142221
Clinical Team Manager,$51386,$79118,$121815
Tractor Driver,$53562,$109077,$222132
Senior Vice President Of Merchandising,$116619,$183349,$288264
Regional Talent Acquisition Manager,$40750,$72021,$127288
Coach Operator,$31020,$44758,$64579
Civil Technician,$27912,$49456,$87628
Supervisory Logistics Management Specialist,$41660,$71490,$122677
Operational Analyst,$46041,$72159,$113095
Freight Team Member,$44143,$60214,$82136
Certified Personal Coach,$50247,$59902,$71412
Supply Chain Management Manager,$59409,$91325,$140388
Instrument Fitter,$36892,$54293,$79900
Materials Supervisor,$52152,$70401,$95036
Electrical Associate,$51184,$82207,$132033
Legal Executive,$50831,$96637,$183720
Head Of Administration,$72715,$112202,$173133
Yard Foreman,$41965,$57260,$78128
Foreclosure Manager,$36645,$69752,$132772
Delivery Courier,$20768,$29680,$42416
Prior Authorization Nurse,$27991,$45032,$72449
Clinical Hospital Pharmacist,$106708,$142811,$191130
Senior Contact Center Representative,$39030,$43126,$74980
Engineering Technologist,$26800,$33651,$42252
Respiratory Therapy Supervisor,$35361,$58648,$97272
Global Finance And Business Management Summer Analyst,$49599,$66970,$90425
Customer Success Trainer,$40842,$70848,$122900
Compensation Program Manager,$66725,$101826,$155393
Nursery Nurse,$95660,$133866,$187330
Food Worker,$22277,$36935,$61239
Banker Coach,$42727,$52050,$63406
Gunsmith,$25079,$40794,$66357
Store Support Manager,$32269,$45698,$64714
Dealer Services Manager,$40989,$76979,$144569
Licensed Cath Lab Tech,$32568,$61934,$117778
Hotel Receptionist,$24714,$33004,$44073
Kitchen Porter,$24804,$31186,$39211
Loss Control Supervisor,$51999,$81884,$128942
Lieutenant Junior Grade,$38026,$64531,$109512
Director Of Student Activities,$39012,$53161,$72443
Shift Runner,$33405,$48004,$68982
Tax Collector,$36981,$51568,$71908
Recruiting Station Commander,$43222,$79778,$147251
Forex Trader,$54718,$98422,$177032
Rating Veterans Service Representative,$35456,$59863,$101072
Master Tax Advisor,$52375,$80517,$123780
Assistant Director Of Security,$45870,$89752,$175612
Hr Executive,$40843,$66985,$109859
Field Sales Agent,$27181,$48506,$86559
Talent Development Partner,$32421,$56768,$99398
Executive Services Specialist,$42833,$65672,$100689
Convenience Store Manager,$35766,$54069,$81736
Candidate Attorney,$56832,$99043,$172605
Janitorial Services,$28361,$40036,$56517
Senior Legal Administrator,$62997,$95071,$143473
Traffic Producer,$34962,$69686,$138896
Senior Leasing Associate,$38660,$51836,$69503
Director Of Program Management Office,$75455,$137274,$249738
Administrator Pastor,$30659,$48525,$76804
Academic Services Administrator,$28267,$45264,$72482
Head Accountant,$43174,$61809,$88488
Chinese Language Teacher,$14500,$28117,$55512
Healthcare Agent,$39018,$71133,$129683
Pharmacist Supervisor,$99079,$130103,$170841
Senior Campaign Director,$97056,$159727,$262865
Mechanical Supervisor,$51917,$79410,$121461
Medicare Sales Executive,$43092,$80795,$151484
Production Control Technician,$32381,$43952,$59657
Supervisory Veterinary Medical Officer,$109959,$191115,$332168
Production Helper,$29594,$40573,$55625
Provider Network Manager,$53958,$88579,$145413
Train Driver,$39314,$59256,$89313
Head Administrative Assistant,$35136,$49758,$70465
Case Management Manager,$28094,$45289,$73008
Aircraft Fueler,$31427,$42153,$56540
Post Closing Manager,$44424,$55293,$68821
Able Seaman,$47123,$66731,$94498
Technical Support Staff,$33411,$55330,$91628
County Manager,$42258,$69752,$132772
Concierge,$30281,$44771,$66194
Environmental Health Officer,$52947,$83840,$132758
Radio Dj,$23284,$58850,$148742
Aquatics Assistant Manager,$35760,$48167,$64878
Spiritual Care Counselor,$17267,$34069,$67219
Paratransit Driver,$39314,$59256,$89313
Legal Operations Specialist,$39387,$60072,$91620
Oracle Database Developer,$78143,$103448,$136947
Unit Supply Sergeant,$36354,$40285,$44642
Lead Quality Inspector,$67465,$90313,$123242
Deli Team Member,$26324,$34312,$44725
Airport Operations Supervisor,$43481,$65201,$97770
Senior Chief Engineer,$77946,$125645,$202534
Index Analyst,$26789,$36076,$48584
Legal Assistance Attorney,$56832,$99043,$172605
Director Of Estimating,$46656,$74045,$117513
Kitchen Associate,$36284,$47903,$63515
Senior Pension Analyst,$59465,$89049,$133351
Rail Coordinator,$48788,$90205,$166782
Hospital Chaplain,$37095,$64777,$113118
Package Sorter,$24353,$42070,$72676
Instruction Librarian,$36677,$57280,$89455
Sales Development Consultant,$37771,$76290,$154090
Accounts Recievable Specialist,$43117,$58390,$79073
Records Examiner,$34721,$68584,$135473
Senior Production Underwriter,$59487,$93120,$166956
Lecturer In Physics,$35759,$57182,$91440
Social Caseworker,$37294,$55305,$82015
Senior Installation Engineer,$40563,$58877,$85459
Residency Program Administrator,$41757,$66755,$106719
Code Enforcement Supervisor,$40886,$73285,$131356
Medical Sonographer,$85193,$111928,$147053
Senior Inventory Manager,$71356,$94371,$124810
Dermatology Physician Assistant,$16794,$36201,$78033
Air Export Coordinator,$34903,$56820,$92497
Education Services Manager,$40491,$63017,$98075
Ocean Import Supervisor,$38868,$54324,$75926
Investigations Supervisor,$62849,$88920,$125807
Train Operator,$49023,$83409,$141915
Escalation Coordinator,$25966,$39683,$60646
Transit Supervisor,$38452,$68112,$120652
Controls Design Engineer,$57851,$86113,$128181
Software Program Manager,$58108,$99112,$169049
Executive Therapeutic Specialist,$50831,$96637,$183720
Registered Wealth Management Client Associate,$33039,$68164,$140630
Veterans Affairs Coordinator,$64581,$100883,$157592
Research Dietitian,$37690,$54997,$80251
Office Assistant,$47938,$65664,$89946
Incident Commander,$43222,$79778,$147251
Product Builder,$36674,$55674,$84516
Resolution Team Lead,$27534,$42159,$64552
Aircraft Maintenance Supervisor,$48626,$64587,$85786
Foley Artist,$34022,$74525,$163249
Adoption Supervisor,$26429,$45935,$79836
Court Operations Supervisor,$43481,$65201,$97770
Director Of Revenue Cycle,$45975,$77233,$129743
Citizens Banker,$42727,$52050,$63406
Chief Audit Executive,$72926,$114519,$179834
F16 Weapons Load Crew Member,$31863,$44396,$61858
Counter Assistant,$27496,$36776,$49189
Import Compliance Specialist,$41247,$71211,$122942
Packing Supervisor,$35751,$50095,$70194
Instrument Designer,$40877,$69961,$119738
Senior People Specialist,$36969,$58363,$92140
Pharmaceutical Buyer,$38955,$75283,$145486
Speech And Language Therapist,$63322,$101856,$163840
Youth Services Supervisor,$36414,$54940,$82892
District Librarian,$36677,$57280,$89455
Catering Services,$32127,$53145,$87915
Business Assurance Manager,$87180,$123007,$173557
Lead Contract Specialist,$47196,$73710,$114392
Structural Welder,$40256,$53369,$70753
Federal Police Officer,$39598,$60564,$92631
Flight Service Manager,$41587,$69772,$117058
Lighting Programmer,$32862,$59044,$106085
Financial Sales Specialist,$42865,$66868,$104310
Internal Revenue Agent,$40069,$68355,$116608
Data Integrity Associate,$51184,$82207,$132033
Imagery Intelligence Analyst,$27511,$51820,$97607
Clinical Data Abstractor,$48901,$64295,$84536
Audit Program Manager,$81238,$111686,$153548
Clinical Research Monitor,$34213,$80193,$187964
Home Department Manager,$32532,$54020,$89702
Educational Sign Language Interpreter,$43695,$73101,$122297
Software Quality Manager,$68096,$93336,$127933
Senior Production Accountant,$61027,$79749,$104213
General Service Technician,$42833,$65672,$100689
Clinical Reimbursement Specialist,$35383,$47876,$64779
Security Controls Assessor,$42574,$58853,$81357
Banking Operations Specialist,$33863,$55808,$91974
Client Support Executive,$25859,$39324,$59798
Lead Quality Assurance Engineer,$70117,$112516,$168079
Operations Project Consultant,$92939,$129274,$179814
Technical Production Supervisor,$52030,$67907,$88628
Member Experience Representative,$36919,$51291,$71257
Blender Operator,$29972,$37796,$47661
Master Hair Stylist,$25791,$59939,$139298
Federal Agent,$46014,$97020,$204569
Banquet Waiter,$24608,$45981,$85918
Senior Vice President Of Capital Markets,$116619,$183349,$288264
Entry Writer,$39839,$61676,$95482
Finance Business Partner,$60825,$114125,$214130
Senior Safety Analyst,$59465,$89049,$133351
Events Management,$40120,$59844,$89266
Pharmacist Manager,$137735,$168759,$209497
Senior Hr Business Partner,$56063,$86591,$133744
Telesales Executive,$51858,$86814,$145333
Senior Transportation Engineer,$94199,$141609,$212882
Power System Operator,$35876,$57718,$92858
Senior Foreclosure Specialist,$41062,$56056,$76525
Cabin Attendant,$24130,$39534,$64770
Restaurant Captain,$41253,$73729,$131773
Heavy Machine Operator,$48170,$64310,$85859
Customer Development Account Manager,$35906,$65864,$120816
International Relations Manager,$36157,$56314,$87707
Functional Tester,$39875,$76550,$146955
Zone Director,$53306,$99247,$184783
Health Physics Technician,$38806,$55978,$80750
Merchandise Operations Leader,$45635,$63440,$88191
Charge Auditor,$67071,$94413,$132900
Senior Project Scheduler,$66639,$99281,$166548
Assistant Unit Manager,$45997,$72652,$114751
Executive Protection Specialist,$49356,$78264,$124104
Expressive Arts Therapist,$42331,$77470,$141779
Fire Alarm Service Technician,$54747,$82603,$124634
Patent Prosecution Secretary,$21580,$31346,$45531
Combat Engineer Squad Leader,$27745,$42600,$65408
Mechanic Helper,$30156,$42184,$59011
Treasury Management Sales Officer,$69727,$102398,$150376
Lead Business Intelligence Analyst,$88051,$130877,$175130
Technical Services Team Lead,$87245,$128556,$189427
Director Of Ticketing,$53306,$99247,$184783
Industrial Hygiene Specialist,$40888,$61831,$93501
Construction Control Inspector,$25566,$42083,$69270
Senior Facility Manager,$63768,$96390,$145702
Software Quality Test Engineer,$63871,$98715,$152570
Production Mechanic,$35971,$59093,$97076
Dentist Assistant,$132795,$220325,$365550
Field Operations Technician,$46438,$70326,$106503
Business Immigration Supervisor,$37706,$76476,$155109
Electrical Maintenance Manager,$60554,$87323,$125927
Slot Shift Supervisor,$42040,$63675,$96445
Lease Administration Manager,$41881,$55696,$74068
Campus Librarian,$36677,$57280,$89455
Structures Engineer,$60486,$92260,$140725
Total Rewards Manager,$45847,$82888,$149855
Senior Business Continuity Analyst,$70235,$99114,$139868
Regulatory Health Project Manager,$52676,$94067,$167981
Hockey Director,$53306,$99247,$184783
Lead Information Technology Specialist,$22622,$45233,$90441
Product Quality Engineer,$61482,$91229,$135369
Utility Project Manager,$50297,$81598,$132377
Public Works Officer,$41268,$64787,$104912
Rail Operator,$41104,$58093,$82105
Solar Technician,$34454,$51636,$77386
Ocean Export Manager,$34903,$56820,$92497
Sales And Marketing Operations Manager,$43688,$74837,$128194
Field Collector,$36981,$51568,$71908
Sheriff,$30503,$49769,$81205
Compliance Investigator,$43240,$70261,$114167
Pharmacy Coordinator,$83516,$121312,$176212
Fiber Optic Splicer,$30316,$44771,$66117
Monitoring And Evaluation Officer,$22079,$36914,$61716
Director Of Employment Services,$53306,$99247,$184783
Management Services Technician,$42833,$65672,$100689
Senior Immigration Specialist,$44779,$68182,$107515
Command Master Chief,$43222,$79778,$147251
Motorcycle Mechanic,$35971,$59093,$97076
Agency Relationship Manager,$39373,$85523,$185764
Vault Specialist,$39162,$70245,$126000
Senior Materials Program Manager,$100648,$135178,$181553
Canine Trainer,$25803,$54301,$114273
Employee Relations Partner,$50349,$78444,$122215
Music Faculty,$31141,$61372,$120952
Shift Assistant,$38697,$59140,$90385
Programming Teacher,$14500,$28117,$55512
Personal Driver,$39314,$59256,$89313
Head Rowing Coach,$28300,$52916,$98946
Medical Assistant Program Director,$38884,$67200,$116135
Plumbing Estimator,$46656,$74045,$117513
Lead Data Manager,$131702,$184298,$249080
Security Ambassador,$17023,$28196,$46705
Senior Title Examiner,$51758,$72883,$102630
Test Associate,$51184,$82207,$132033
Transmission System Operator,$22884,$28413,$35278
Regional Human Resources Business Partner,$56063,$86591,$133744
Systems Accountant,$43174,$61809,$88488
Fire Sprinkler Designer,$47847,$71502,$106853
Ocean Import Operations,$33863,$55808,$91974
Data Quality Engineer,$84015,$128382,$196177
It Manager,$78192,$109375,$156165
Logistics Chief,$101503,$122453,$159540
Student Management Specialist,$45366,$63471,$88800
Camping Director,$31862,$46342,$67402
Field Fellow,$27823,$52614,$99494
Student Accounts Manager,$45366,$63471,$88800
Full Time Sales,$35872,$83421,$193993
Trainee Associate,$21735,$40137,$82207
Emergency Care Sergeant,$31153,$47205,$71527
Property Disposal Specialist,$39173,$60178,$92444
Health Care Worker,$19403,$35376,$64497
Solar Designer,$40877,$69961,$119738
Vice Director,$53306,$99247,$184783
Principal Solutions Consultant,$99182,$147169,$218373
Physical Therapy Resident,$23759,$46232,$89962
Company Nurse,$62404,$104779,$175930
Slot Technician,$31680,$43023,$58428
Vehicle Fleet Manager,$42307,$66903,$105798
Termite Technician,$33714,$46606,$64426
Sales Effectiveness Manager,$40897,$82482,$166349
Electroneurodiagnostic Technologist,$26800,$33651,$42252
Data Entry Agent,$25694,$38725,$58366
Air Import Coordinator,$39675,$59957,$90606
Accessions Recruiter,$32421,$56768,$99398
Command Chief Master Sergeant,$43222,$79778,$147251
Coaching,$19234,$36172,$68027
Coordination Center Officer,$37270,$61031,$99940
Supervisory Accountant,$43174,$61809,$88488
Bank Assistant,$50454,$102394,$207803
Head Of English Department,$48239,$93057,$179515
Estimating Analyst,$46656,$74045,$117513
